"County","total_zip_codes","total_stations","renewable_stations","renewable_pct"
"Douglas","7","2","1","50.00"
"Jefferson","8","5","1","20.00"
"Whatcom","16","7","1","14.29"
"Okanogan","17","8","1","12.50"
"Clallam","7","4","0","0.00"
"Clark","20","15","0","0.00"
"Columbia","1","1","0","0.00"
"Cowlitz","9","3","0","0.00"
"Franklin","5","2","0","0.00"
"Grant","12","5","0","0.00"
"Grays Harbor","17","7","0","0.00"
"Island","7","6","0","0.00"
"King","88","72","0","0.00"
"Kitsap","18","14","0","0.00"
"Kittitas","10","3","0","0.00"
"Klickitat","14","4","0","0.00"
"Lewis","22","8","0","0.00"
"Lincoln","8","2","0","0.00"
"Mason","10","3","0","0.00"
"Yakima","21","11","0","0.00"
"Asotin","2","1","0","0.00"
"Benton","8","6","0","0.00"
"Chelan","12","5","0","0.00"
"Whitman","16","2","0","0.00"
"Adams","6","1","0","0.00"
"Pacific","12","3","0","0.00"
"Pend Oreille","5","1","0","0.00"
"Pierce","61","35","0","0.00"
"San Juan","8","4","0","0.00"
"Skagit","14","10","0","0.00"
"Skamania","4","2","0","0.00"
"Snohomish","28","24","0","0.00"
"Spokane","39","21","0","0.00"
"Stevens","17","2","0","0.00"
"Thurston","13","8","0","0.00"
"Wahkiakum","5","2","0","0.00"
"Walla Walla","7","3","0","0.00"
"Garfield","1","0","0",NULL
"Ferry","6","0","0",NULL
